external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
Bahd1	1958.55	1753.82	1101.82	1263.89	1183.77	712.154	681.038	1397.69
Baiap2	2573.97	581.521	339.59	292.782	310.567	240.392	193.938	868.816
Baiap2l1	141.154	46.2574	64.3878	33.897	73.4236	113.86	144.326	42.9001
Baiap2l2	594.697	155.953	175.879	150.72	245.72	302.178	189.428	326.206
Baiap3	248.111	26.4328	29.2641	29.5622	95.7414	135.808	153.346	49.6633
Bak1	159.29	54.1872	44.1803	18.233	62.5345	163.579	207.469	64.321
Bambi	3329.88	1917.7	1244.23	1379.23	1301.32	583.193	617.896	938.628
Bambi-ps1	1046.73	1094.32	349.041	341.449	381.512	229.964	207.469	393.244
Banf1	488.12	70.0469	85.462	86.6044	123.089	122.839	85.6935	178.368
Banf2	108.815	62.1171	51.3302	26.4158	32.8331	114.71	94.7139	40.4971
Bank1	179.515	114.983	81.875	64.7155	92.1529	139.343	135.306	53.186
Banp	3030.18	1653.37	788.225	802.006	651.779	515.019	586.324	1482.12
Bap1	832.677	458.609	149.084	174	123.296	175.423	216.489	284.399
Bard1	123.163	298.691	194.083	179.558	343.151	177.927	230.02	177.577
Barhl1	337.223	55.5089	61.7878	48.9612	47.6838	129.842	126.285	117.166
Barhl2	249.505	67.4036	115.674	92.252	109.969	133.861	207.469	96.9235
Barx1	187.729	50.2223	67.3103	55.8312	86.4594	128.272	103.734	62.7514
Barx2	65.7964	52.8656	64.6334	47.1727	67.9791	133.844	90.2037	46.0354
Basp1	838.146	660.82	924.877	951.368	929.389	435.2	694.569	679.329
Batf	66.9924	15.8597	29.2448	9.42775	18.3974	94.4555	36.0815	17.5106
Batf2	82.8066	25.1112	24.6949	10.039	7.34235	122.842	54.1222	28.6105
Batf3	246.452	229.965	203.713	201.106	176.258	178.817	261.591	314.297
Bax	222.92	55.5089	38.6337	17.5653	21.9441	102.625	54.1222	55.9882
Baz1a	62.631	35.6843	29.5915	30.7845	20.0462	47.8601	18.0407	25.8082
Baz1b	1561.27	782.411	317.89	294.57	244.279	252.117	239.04	653.024
Baz2a	1223.88	819.417	646.275	808.175	598.692	714.447	676.528	1426.26
Baz2b	378.384	428.211	269.491	244.138	280.077	405.595	315.713	239.248
Bbc3	385.168	162.562	86.4249	35.1082	38.5681	92.2893	67.6528	50.8492
Bbip1	120.267	113.661	146.19	138.022	141.195	131.536	94.7139	130.654
Bbof1	845.067	387.24	279.795	370.513	214.286	200.039	144.326	446.5
Bbox1	85.4244	38.3276	91.6779	120.535	101.227	96.8062	90.2037	89.0328
Bbs1	280.575	129.521	94.4943	67.7828	97.4317	343.495	441.998	127.076
Bbs10	1451.61	1264.81	1034.97	1311.9	967.902	410.449	428.468	1148.86
Bbs12	2101.59	1311.07	858.877	875.991	677.146	346.837	414.937	805.258
Bbs2	74.2721	84.5849	79.9202	71.5742	58.4898	99.3785	139.816	73.9019
Bbs4	53.2982	30.3977	38.0318	32.6407	49.3742	106.197	54.1222	63.1545
Bbs5	690.923	892.107	570.429	685.16	592.833	352.958	243.55	672.923
Bbs7	234.338	158.597	111.144	84.8273	106.589	151.856	220.999	94.5748
Bbs9	1948.89	1459.09	1227.69	1320.05	1295.43	805.244	775.752	1233.84
Bbx	1082.37	2035.33	2330.32	2687.15	2165.99	1114.59	1429.73	2036.33
