external_gene_name	E11mean	E12mean	E13mean	E14mean	E15mean	E16mean	E18mean	P0mean	CtrlUnInjmean	YoungFC	AdultFC	UnInjCST_FC	InjCST_FC
Ppp1r13l	3.1399999999999997	4.825	4.155	3.175	1.02	2.2199999999999998	1.99	1.7149999999999999	0.9249999999999999	1754.22			386.69300000000004
Ppp1r14a	7.4799999999999995	16.16	22.67	22.685000000000002	11.719999999999999	10.105	9.03	3.885	21.705	247.088			32.8559
Ppp1r14b	51.295	257.165	234.93	87.39	133.055	218.31	120.92500000000001	193.27499999999998	13.870000000000001	1187.06			195.354
Ppp1r14c	0.6950000000000001	1.57	5.93	18.705	42.235	49.87	49.905	78.395	14.025	427.164			199.283
Ppp1r14d	0.085	0.13	0.07	0.03	0.0	0.03	0.0	0.0	0.0	94.6767			57.8205
Ppp1r15a	9.265	14.025	12.899999999999999	12.105	13.825	12.86	15.245	21.28	6.1499999999999995	52.4669			3.58218
Ppp1r15b	32.254999999999995	52.795	50.45	30.660000000000004	24.659999999999997	26.490000000000002	30.654999999999998	13.88	21.92	3352.41			857.567
Ppp1r16a	40.685	51.980000000000004	52.715	50.215	58.22	62.275	61.9	70.985	24.705000000000002	1082.99			382.105
Ppp1r16b	1.22	2.2350000000000003	2.535	6.74	13.0	19.265	20.695	21.9	28.88	381.756			150.202
Ppp1r17	0.895	3.4	4.775	3.875	2.775	2.0300000000000002	1.895	1.49	0.22999999999999998	158.092			102.083
Ppp1r18	11.695	21.240000000000002	19.950000000000003	18.305	18.46	17.810000000000002	20.435	19.490000000000002	3.0700000000000003	1188.37			124.751
Ppp1r1a	17.92	30.085	43.11	65.0	77.50999999999999	75.57	74.345	165.77499999999998	52.05	487.59			517.322
Ppp1r1b	0.175	0.28	2.525	14.46	32.085	45.825	49.015	90.45	166.75	884.173			170.899
Ppp1r1c	0.0	0.035	0.185	0.18	0.22999999999999998	0.25	0.215	0.22000000000000003	0.645	203.7			244.407
Ppp1r2	49.485	86.05	78.32	77.225	75.06	71.32	80.13499999999999	78.685	110.75999999999999	133.99200000000002			49.0816
Ppp1r2-ps3	0.175	0.69	0.2	0.05	0.155	0.045	0.19	0.135	0.155	156.593			122.21799999999999
Ppp1r2-ps7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	52.9765			37.4155
Ppp1r2-ps9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.5981			73.892
Ppp1r21	10.145	21.335	17.79	19.75	29.104999999999997	21.314999999999998	26.29	21.405	39.765	1689.98			858.005
Ppp1r26	3.2350000000000003	6.01	7.785	6.04	4.26	7.375	6.115	7.14	5.180000000000001	700.327			147.187
Ppp1r27	0.055	0.1	0.10500000000000001	0.0	0.04	0.095	0.135	0.0	0.0	196.718			26.616
Ppp1r32	0.1	0.39	0.605	1.375	2.22	1.75	1.835	4.475	0.68	138.83			107.6
Ppp1r35	25.85	59.25	46.97	34.35	47.83	32.175	35.010000000000005	34.394999999999996	8.435	1293.05			393.217
Ppp1r36	0.21000000000000002	0.31	0.46499999999999997	0.835	0.875	1.03	0.8600000000000001	2.085	1.7	80.8862			35.4222
Ppp1r37	8.49	4.305	23.965	14.64	8.44	24.86	15.27	19.005000000000003	32.215	222.303			79.3087
Ppp1r3a	0.005	0.0	0.01	0.005	0.01	0.015	0.005	0.0	0.235	65.75399999999999			57.2378
Ppp1r3b	1.735	3.2	4.325	1.045	1.645	2.565	3.175	0.7749999999999999	0.325	511.272			142.984
Ppp1r3c	0.77	1.625	2.03	3.5599999999999996	7.705	6.025	8.365	6.51	29.73	95.5404			46.7802
Ppp1r3d	0.365	0.61	1.04	0.595	1.23	1.48	1.585	2.615	2.95	364.68800000000005			222.615
Ppp1r3e	0.5449999999999999	0.8350000000000001	0.97	1.45	2.12	1.6099999999999999	1.815	2.4	7.8100000000000005	1986.13			500.105
Ppp1r3f	0.825	2.21	3.56	2.82	2.48	4.105	3.23	5.109999999999999	8.145	99.9113			68.1819
Ppp1r3g	1.92	2.145	1.785	1.2999999999999998	0.5700000000000001	1.18	0.84	0.405	2.035	369.284			159.2
Ppp1r42	0.255	0.40499999999999997	0.54	0.6000000000000001	0.8049999999999999	0.5549999999999999	0.8200000000000001	1.175	2.085	190.115			170.236
Ppp1r7	47.885	71.635	74.395	60.555	46.195	46.405	52.415000000000006	46.31	66.585	2963.89			1066.07
Ppp1r8	47.095	59.28	60.879999999999995	54.965	92.53999999999999	45.515	69.41	37.995	23.185	87.6047			42.8947
Ppp1r9a	9.635	21.57	24.035	27.875	20.52	32.575	25.77	24.445	59.31	2335.53			2474.62
Ppp1r9b	5.279999999999999	14.24	14.17	13.36	18.005000000000003	19.439999999999998	18.815	20.015	150.96	1466.81			504.212
Ppp2ca	47.58	99.33	101.825	91.28	116.71000000000001	101.49000000000001	110.47	92.25	114.19999999999999	2391.36			804.1089999999999
Ppp2cb	11.760000000000002	27.56	23.81	26.064999999999998	38.45	27.405	32.64	44.39	86.77000000000001	501.936			383.534
Ppp2r1a	210.64	355.985	363.74	395.77	490.58000000000004	447.59000000000003	497.24	544.525	175.95499999999998	6598.2			2976.01
Ppp2r1b	92.775	102.005	91.145	73.195	73.18	76.81	84.465	23.755000000000003	6.705	504.028			110.821
Ppp2r2a	47.925	68.765	68.285	63.510000000000005	46.480000000000004	69.995	67.885	59.11	51.955	196.921			156.686
Ppp2r2b	3.415	24.130000000000003	74.5	153.06	294.9	296.22	327.01	255.625	89.55	165.851			103.05
Ppp2r2c	0.395	0.97	3.5300000000000002	7.43	17.09	26.145000000000003	24.445	73.045	162.755	486.95599999999996			467.64300000000003
Ppp2r2cos	0.0	0.0	0.035	0.24	0.065	0.49	0.18	0.07	0.0	156.203			202.524
Ppp2r2d	24.895	58.11	54.36	39.34	52.885	59.825	61.76	80.41	76.58500000000001	1336.68			471.101
Ppp2r3a	4.395	11.370000000000001	15.115	13.835	19.58	17.67	22.5	13.01	14.16	11224.0			9280.1
Ppp2r3c	19.575000000000003	37.83	33.72	34.625	35.39	31.33	34.855000000000004	28.02	31.39	130.887			164.82299999999998
Ppp2r3d	68.69	144.15	142.875	121.995	119.625	151.64	134.77	137.72	27.855	239.97099999999998			194.666
Ppp2r5a	5.05	16.41	8.785	5.87	9.42	8.725	8.405000000000001	9.23	48.37	226.07299999999998			140.726
Ppp2r5b	12.275	33.715	42.379999999999995	45.86	72.41499999999999	79.53999999999999	86.395	128.0	41.56	147.468			49.7317
Ppp2r5c	40.730000000000004	68.465	68.51	62.83	59.33	59.67	63.875	56.5	52.254999999999995	2680.05			765.273
Ppp2r5d	70.985	102.705	85.125	69.52	59.51	67.095	64.975	71.79499999999999	29.279999999999998	282.995			81.3117
Ppp2r5e	8.045	19.3	20.035	17.245	21.27	17.87	20.36	14.565000000000001	36.03	364.835			315.42
Ppp3ca	14.57	44.260000000000005	69.68	66.325	81.345	116.41	108.495	164.255	533.76	2742.53			1482.6
Ppp3cb	25.14	51.69	62.325	60.39	73.18	69.58	79.605	79.37	243.235	170.03			88.0187
Ppp3cc	1.5150000000000001	3.705	4.37	5.6850000000000005	9.285	9.195	9.204999999999998	16.55	14.29	180.791			54.608999999999995
Ppp3r1	37.965	78.055	94.89500000000001	105.87	117.58	141.845	147.25	174.66000000000003	819.385	3024.29			2601.53
Ppp3r2	0.01	0.0	0.025	0.055	0.10500000000000001	0.2	0.115	0.155	0.115	116.191			87.1231
Ppp4c	192.33	263.36	223.185	196.695	190.16500000000002	161.005	163.95	119.66499999999999	19.27	165.736			44.1707
Ppp4r1	34.735	51.459999999999994	48.394999999999996	40.370000000000005	34.465	36.945	42.28	21.295	15.254999999999999	1052.67			174.50599999999997
Ppp4r1l-ps	6.154999999999999	12.485	14.120000000000001	12.34	9.594999999999999	12.055	10.120000000000001	8.96	4.95	475.769			189.17700000000002
Ppp4r2	12.399999999999999	28.4	25.935	21.525	22.455	19.685	22.615000000000002	8.46	48.495000000000005	666.942			188.416
Ppp4r3a	23.64	52.575	52.16	25.634999999999998	22.380000000000003	25.854999999999997	24.130000000000003	8.67	17.72	207.673			188.127
