external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Rnf25	203	26	76	61	101	65	18	12
Ttll4	130	17	45	37	58	45	17	17
Cyp27a1	264	22	38	24	43	33	11	49
Wnt6	86	11	35	25	24	19	7	12
Wnt10a	96	15	47	24	19	22	4	30
Cdk5r2	174	21	76	52	70	48	24	65
Fev	61	16	49	20	34	15	6	8
Cryba2	47	17	39	20	26	31	8	7
Cfap65	23	16	22	14	24	21	9	4
Ihh	72	14	48	31	31	16	8	4
Nhej1	34	13	18	19	28	15	7	1
Slc23a3	39	17	30	18	22	23	8	9
Retreg2	333	52	98	106	207	144	59	172
Cnppd1	629	113	349	246	396	229	98	125
Zfand2b	1	3	1	2	2	2	1	0
Zfand2b	47	8	32	21	35	17	9	5
Abcb6	235	34	76	57	79	39	21	12
Ankzf1	333	35	110	118	238	145	90	74
Atg9a	431	59	144	132	290	173	64	108
Stk16	156	29	43	38	54	40	13	34
Glb1l	366	13	56	33	50	33	26	33
Dnajb2	486	69	145	105	190	140	75	222
Ptprn	53	7	14	12	17	15	16	36
Ptprn	14	10	11	9	14	11	7	19
Resp18	35	23	41	34	35	35	12	20
Des	89	20	55	19	32	29	11	30
Speg	159	16	37	21	24	24	13	7
Speg	355	37	76	63	62	59	20	128
Speg	139	26	51	32	50	32	22	225
Speg	342	60	136	101	94	62	18	56
Asic4	218	38	82	48	48	38	25	31
Tmem198	492	34	135	127	252	119	77	97
Chpf	161	27	66	79	118	77	49	109
Inha	455	35	77	55	68	44	26	22
Obsl1	47	5	15	10	4	9	2	2
Stk11ip	483	136	250	166	199	137	64	63
Slc4a3	435	44	71	69	89	70	46	117
Epha4	441	65	161	168	367	223	104	99
Pax3	163	30	49	24	38	20	4	5
Sgpp2	177	8	19	20	17	13	6	27
Farsb	695	42	57	61	130	75	39	92
Mogat1	59	7	33	15	13	11	3	1
Acsl3	0	0	0	0	0	0	0	0
Utp14b	0	0	0	0	0	0	0	0
Utp14b	1207	109	365	243	451	241	97	149
Kcne4	37	18	15	19	19	21	11	8
Scg2	46	19	35	50	75	47	15	15
Ap1s3	153	9	31	27	24	18	9	13
Wdfy1	202	30	71	42	100	68	31	23
Mrpl44	122	19	32	22	48	20	17	14
Serpine2	431	20	52	27	45	39	20	32
Fam124b	60	21	36	25	39	22	10	2
Cul3	384	58	149	91	250	150	82	65
Dock10	163	13	44	28	39	20	11	45
Nyap2	12	6	20	20	69	30	22	9
Nyap2	0	0	0	0	0	0	0	0
Nyap2	9	8	29	37	86	56	32	20
Irs1	996	169	491	297	449	279	108	93
Rhbdd1	400	81	146	129	272	211	93	116
Rhbdd1	67	15	22	23	28	11	8	3
Col4a3	59	10	25	23	24	17	7	8
Col4a4	60	14	28	16	18	7	8	10
Mff	142	20	43	17	60	24	22	24
Tm4sf20	26	10	27	25	26	17	8	5
Agfg1	281	26	66	65	123	87	34	31
Slc19a3	75	14	33	18	30	25	16	59
Ccl20	37	13	24	16	25	10	8	3
Daw1	83	17	19	20	30	24	11	8
Sphkap	71	13	20	23	35	27	23	43
Pid1	164	21	51	62	72	55	28	24
Dner	58	33	48	79	95	54	40	22
Fbxo36	659	86	241	147	242	160	87	27
Trip12	377	87	206	148	199	122	45	21
Slc16a14	142	32	78	118	208	162	83	50
Sp110	5	1	2	2	2	1	0	0
Sp140	2	3	2	2	0	3	0	0
Sp110	3	1	3	2	3	3	0	0
Sp100	2	0	0	1	0	0	0	0
Cab39	38	5	23	11	14	5	6	3
Cab39	699	77	315	220	297	164	109	72
